id,name,point
354884,Action,POINT(5.562764400000004 50.66121289969222)
354885,Action,POINT(4.942237096586646 50.2663033933397)
354886,Action,POINT(5.823571300000006 50.57129469969203)
354888,Action,POINT(4.305983622020739 50.79512213767832)
354889,Action,POINT(4.875027052592489 50.474947823228675)
354890,Action,POINT(4.404822377654289 50.858961713581905)
354892,Action,POINT(5.790606469603019 49.6850448874828)
354893,Action,POINT(5.874125645513066 50.491892687989235)
354896,Action,POINT(5.123775500000005 50.08038309969102)
354898,Action,POINT(5.0946719444717825 50.663972602974255)
354899,Action,POINT(3.6002029270255864 50.52904055638278)
354900,Action,POINT(4.464113116264343 50.38645433586568)
354901,Action,POINT(5.854879100000017 50.69401569969227)
354902,Action,POINT(4.7968097999999815 50.630100899692145)
354903,Action,POINT(4.366330200000008 50.69501349969228)
354904,Action,POINT(3.6353757999999914 50.60195029969209)
354907,Action,POINT(4.33324009180069 50.04458690115873)
354908,Action,POINT(4.185106676943238 50.47709612076612)
354911,Action,POINT(5.696222195829961 50.61701266289095)
354912,Action,POINT(3.407371360479785 50.60113096107747)
354913,Action,POINT(6.007053599999983 50.41991489969167)
354914,Action,POINT(4.867890975417795 50.44208817365638)
354915,Action,POINT(5.497050999394308 50.589954370145755)
354916,Action,POINT(6.022886218968253 50.63570063329177)
354917,Action,POINT(4.452955436165333 50.61488556244141)
354918,Action,POINT(3.2009057000000185 50.736562099692364)
354919,Action,POINT(5.490194587324568 50.347426376604645)
354921,Action,POINT(4.315627753087563 50.84860739096015)
354923,Action,POINT(4.315331309476185 50.836623885614536)
354924,Action,POINT(5.813454099999995 49.61087519969016)
354926,Action,POINT(5.874757511267106 50.594077705322626)
354927,Action,POINT(5.509758247698988 50.64858775250411)
354928,Action,POINT(4.22633429999999 50.48235609969182)
354929,Action,POINT(4.23987139999999 50.40776659969167)
354930,Action,POINT(4.064501326718447 50.57138127188492)
354931,Action,POINT(5.540401341104513 49.57167772077172)
354932,Action,POINT(5.616988209459763 50.670277738614544)
354933,Action,POINT(5.26211766205448 50.53277667169068)
354934,Action,POINT(4.163057294326018 50.483182974839295)
354935,Action,POINT(3.787350902173907 50.63173656593823)
354936,Action,POINT(4.643410324468364 50.45298097668684)
354937,Action,POINT(4.54615850000001 50.476119399691825)
354938,Action,POINT(4.273682195102504 50.477957398232476)
354939,Action,POINT(5.3575296170688835 49.91444159588257)
354941,Action,POINT(4.512605077749019 50.72092427182892)
354942,Action,POINT(3.907566724161615 50.450020230255156)
354943,Action,POINT(5.6675536045212205 50.736001570475246)
354946,Action,POINT(4.438754670652827 50.42030491298463)
354947,Action,POINT(4.339393300000016 50.867430199692635)
354948,Action,POINT(5.087504299999992 49.813463099690516)
354950,Action,POINT(4.173776794664792 50.44673619080904)
354951,Action,POINT(5.719927206784048 49.99594004025432)
354952,Action,POINT(4.474448851369126 50.42959028409897)
354954,Action,POINT(4.678565111128283 50.55998679942932)
354955,Action,POINT(4.501142247750729 50.27616875180037)
354956,Action,POINT(5.650048656111184 50.548185157761935)
354957,Action,POINT(4.5668033999999835 50.649425899692176)
354958,Action,POINT(3.942751600000003 50.46329769969177)
354960,Action,POINT(5.100986525840536 50.4930374303773)
354961,Action,POINT(5.553199000000006 50.644326799692166)
354962,Action,POINT(4.939937283218261 51.132399317134904)
354963,Action,POINT(5.1955415053017 50.8130898931897)
354964,Action,POINT(3.1975876192142483 50.917345117066674)
354965,Action,POINT(4.718677782643583 50.9132197663605)
354966,Action,POINT(4.465291009600851 51.26671465740925)
354967,Action,POINT(3.2084327999999918 50.815944199692524)
354968,Action,POINT(3.9861417348015094 51.10310963144522)
354969,Action,POINT(5.683933039106397 50.91407349685995)
354971,Action,POINT(4.833867291709617 50.999520598740226)
354972,Action,POINT(5.427943999999991 51.21759809969346)
354973,Action,POINT(4.280303979947654 50.790740304952735)
354974,Action,POINT(4.035594600000012 50.84224629969259)
354975,Action,POINT(3.838927600000015 50.86238919969265)
354976,Action,POINT(4.025920299999997 50.908721599692754)
354977,Action,POINT(4.465998200000012 51.234573899693515)
354978,Action,POINT(3.2616172671711574 50.84555807760598)
354979,Action,POINT(4.24258410000002 51.21496219969346)
354980,Action,POINT(4.464991699999987 51.36477629969382)
354981,Action,POINT(2.9634871941536867 51.22079552633471)
354983,Action,POINT(3.2134059569701456 51.22289638017218)
354984,Action,POINT(3.2342270747283504 51.17266977070257)
354985,Action,POINT(3.752330299999991 51.00148959969296)
354986,Action,POINT(4.257662299999994 50.843726699692596)
354988,Action,POINT(4.228198162086475 50.72988759938943)
354989,Action,POINT(4.458867918730833 51.03926321944423)
354991,Action,POINT(2.871881699999994 51.033689699693035)
354992,Action,POINT(4.3351544074319825 50.7399793145513)
354993,Action,POINT(5.517299018772418 50.993826934248865)
354994,Action,POINT(5.376166700000011 51.02237359969299)
354995,Action,POINT(3.5876071929988305 50.745672600779756)
354996,Action,POINT(4.80804248478541 51.348021285025936)
354997,Action,POINT(4.092235600000018 51.04639239969307)
354998,Action,POINT(4.6760058999999865 51.162686599693316)
354999,Action,POINT(4.142796715038529 51.171048697697806)
355000,Action,POINT(4.035643666712829 50.934601672397164)
355001,Action,POINT(3.8723865534076696 50.776796709450714)
355002,Action,POINT(3.1403323030758035 50.79002294065498)
355003,Action,POINT(3.9736175537109375 51.04955565729972)
355005,Action,POINT(3.536089499999995 50.975599199923224)
355006,Action,POINT(3.880853126848119 50.999707709015084)
355007,Action,POINT(4.451937500000014 51.127659599693246)
355008,Action,POINT(2.903475199999983 51.198032899980845)
355009,Action,POINT(5.1186934874496615 51.18304142528139)
355010,Action,POINT(5.700724779341233 50.98561013914906)
355011,Action,POINT(3.733591208319737 51.065874641212574)
355012,Action,POINT(5.602520950818636 51.14387145010192)
355013,Action,POINT(4.140011299999999 50.98490059969292)
355014,Action,POINT(5.089539671429419 51.26292532283679)
355015,Action,POINT(4.069544076919556 51.21460936962735)
355016,Action,POINT(5.3220794857000815 50.73927084962122)
355017,Action,POINT(2.7430164999999906 50.85055279969263)
355018,Action,POINT(4.216459900000005 51.194936599693406)
355019,Action,POINT(5.79363289999999 51.09165289969317)
355020,Action,POINT(3.6004758000000026 50.851634099692646)
355021,Action,POINT(4.555603870854417 51.12759486163043)
355022,Action,POINT(3.812458200000015 51.08890599969314)
355023,Action,POINT(5.371309066366474 51.124614594080676)
355024,Action,POINT(3.32338019999999 50.822227599692575)
355025,Action,POINT(4.3627283999999955 51.33045309969371)
355026,Action,POINT(2.84408868832589 51.19216641695241)
355027,Action,POINT(3.2956817000000127 51.32576289969373)
355028,Action,POINT(5.087667900000019 51.053416199980816)
355029,Action,POINT(4.5087213030757844 51.03393627830713)
355031,Action,POINT(4.142826811056558 51.101907268680776)
355032,Action,POINT(5.4529478184547475 50.96144022613869)
355033,Action,POINT(3.323226124048233 50.86191645649787)
355034,Action,POINT(3.280247747898102 51.206732155804815)
355036,Action,POINT(3.5986740705630513 51.15313975488469)
355038,Action,POINT(4.325259600000013 50.89910689969272)
355039,Action,POINT(4.453871519486894 51.22383909725414)
355041,Action,POINT(4.202327800000014 51.12597069969326)
355042,Action,POINT(3.146365400000004 51.30177529969368)
355043,Action,POINT(3.1313232000000113 51.024506399693024)
355044,Action,POINT(5.585106498580452 51.051564287104405)
355046,Action,POINT(3.118445224536881 50.96197967749212)
355047,Action,POINT(2.6886463696581684 51.07403500000005)
355048,Action,POINT(3.6797009223593653 51.07393017198718)
355049,Action,POINT(5.464639096734603 50.76664224995319)
355050,Action,POINT(2.709494700000006 51.145319999693285)
355051,Action,POINT(3.269466658371613 50.82613177253937)
355053,Action,POINT(5.218799008504724 51.07632910944966)
355055,Action,POINT(4.925233099999993 51.31235839969368)
355056,Action,POINT(4.377373728066872 51.19096862269669)
355057,Action,POINT(4.234062400000007 50.957300799692845)
355058,Action,POINT(4.177545038028736 50.920947511366265)
355059,Action,POINT(4.580319299999989 50.96480609969288)
355062,Action,POINT(5.305517377157138 51.22195760497773)
355063,Action,POINT(4.834487137399672 51.178976635321874)
355064,Action,POINT(4.750806391239166 51.390914856189276)
355065,Action,POINT(5.428461299999987 50.907194999692734)
355066,Action,POINT(4.988495000000013 51.17031409969333)
355067,Action,POINT(4.70539391040802 50.8846045852627)
355068,Action,POINT(4.960837484621052 50.979392587506645)
355069,Action,POINT(4.749166988758944 50.864637215316634)
355070,Action,POINT(3.394482155113683 50.89489217816631)
355071,Action,POINT(5.304813294081587 50.93846010783348)
355072,Action,POINT(3.4456365999999816 51.090199499693156)
355073,Action,POINT(4.427948466774526 50.9222239588883)
355074,Action,POINT(4.512168563418338 50.907931556915486)
355075,Action,POINT(3.264173051592395 50.91840489000066)
355077,Action,POINT(3.777083899999991 51.022757999693006)
355078,Action,POINT(3.8273060999999986 51.197099699693425)
355079,Action,POINT(3.775030100000003 51.05479179969308)
355080,Action,POINT(4.834874200000003 50.45756699969178)
355081,Action,POINT(4.340263600000003 50.87734889969268)
355082,Action,POINT(4.8617253000000105 51.144045099693294)
355083,Action,POINT(4.502599403621378 51.22185284080652)
356072,Shop & Go Delhaize,POINT(4.277338122214186 50.844845446891014)
372884,Spar Colruyt Group,POINT(5.66371999999999 50.08017529969102)
372887,Spar Colruyt Group,POINT(5.594377000000015 49.92824459969073)
372888,Spar Colruyt Group,POINT(4.590409054566948 50.471471938468795)
372896,Spar,POINT(5.22613624898296 50.88317411003511)
372906,Carrefour market,POINT(4.010162651538849 51.05702645321092)
377114,Carrefour market,POINT(4.550568999999989 50.48136829969183)
377115,Carrefour express,POINT(4.329614379969122 50.78645204263105)
377123,Horta,POINT(3.1769215000000095 50.772522799692446)
377155,Albert Heijn,POINT(5.042768699999991 50.9748857996929)
377157,Van Marcke Inspirations,POINT(6.020207699999989 50.63723429969214)
195658,Jumbo,POINT(5.684533811010342 50.91615641560209)
195660,Jumbo,POINT(4.806172732901213 51.34757567318889)
240886,Jumbo,POINT(4.45322203411457 51.22360533316193)
240887,Jumbo,POINT(4.478007999999982 51.228238399995185)
240888,Jumbo,POINT(4.54224881887936 51.194166769896555)
240889,Jumbo,POINT(5.315570862600318 50.9056374064291)
291799,Jumbo,POINT(4.008046925096527 51.00887756645989)
291800,Jumbo,POINT(3.585203799999981 50.74855519969238)
291802,Jumbo,POINT(3.1908928589661567 50.79513963360281)
291803,Jumbo,POINT(3.1511985880470195 51.123332048123274)
297441,Jumbo,POINT(5.156436399999982 51.172817199693355)
297832,Jumbo,POINT(3.791396000000007 51.198744499693404)
327088,Jumbo,POINT(4.426544599999995 51.07972869969315)
327089,Jumbo,POINT(4.1713018691140125 51.0323535103026)
327090,Jumbo,POINT(4.037385463983883 51.204544302691986)
330684,Jumbo,POINT(4.414476425275091 51.20730316736103)
344142,Jumbo,POINT(4.534697084504327 51.14921422225952)
344143,Jumbo,POINT(2.8426719100895204 51.19270180673881)
354520,Jumbo,POINT(5.089559331696525 51.058064022610196)
377256,Comarkt,POINT(3.2348162999999985 51.21029569969345)
377257,Comarkt,POINT(4.535510748048828 50.39921955505036)
377260,Comarkt,POINT(4.325865700000002 50.406551699691676)
377276,Comarkt,POINT(2.9225265562334135 51.216566117553235)
377278,Comarkt,POINT(4.287241928370427 51.07478001172274)
377280,Comarkt,POINT(4.0849231999999835 51.25070619969354)
377281,Comarkt,POINT(3.6777132658829848 51.122381257971966)
377284,Comarkt,POINT(5.6293949000000065 50.60730259969209)
377286,Comarkt,POINT(5.260028199999982 50.69734569969229)
377614,Carrefour express,POINT(4.479396343231201 51.0599581288808)
377630,Hubo,POINT(4.815271100000018 50.893731499692734)
377634,McDonald's,POINT(3.26769624732973 50.91845123626477)
388635,Action,POINT(4.451330119626058 51.171205217184)
388636,Action,POINT(4.198374444948851 50.483036232802014)
388662,Alvo,POINT(4.087043499999998 51.1058553996932)
388707,Carrefour market,POINT(5.675591764643935 50.47491719404077)
388708,Carrefour market,POINT(3.942795730075437 51.173958067545975)
388709,Carrefour market,POINT(5.512015300000006 50.95159349969284)
388710,Carrefour market,POINT(4.15465858527526 50.80561470385778)
388712,Carrefour express,POINT(4.391652300000004 51.2035902996934)
388714,Spar Colruyt Group,POINT(4.866534299999987 50.42811679969172)
388717,Proxy Delhaize,POINT(4.179382350766108 51.19257740364536)
388719,Bio-Planet,POINT(4.690722099999984 50.56752999969201)
388720,Bio-Planet,POINT(3.8156458000000093 50.87700599969268)
388726,Shop & Go Delhaize,POINT(3.400378742974275 50.910013195216656)
388728,Shop & Go Delhaize,POINT(4.131053579036704 51.15067290773584)
388761,Intermarché,POINT(4.5283934406681325 50.457628987846746)
388762,Intermarché,POINT(5.263105000000001 50.532563399691945)
388871,Albert Heijn,POINT(4.132718200000003 50.99474759969293)
388873,Cats & Dogs,POINT(4.603413099999987 51.2493024996935)
388874,Cats & Dogs,POINT(4.56966109999998 51.30281929969366)
388875,Cats & Dogs,POINT(4.475281900000003 51.394154199980875)
388876,Cats & Dogs,POINT(4.807087426828156 51.34777501887373)
388877,Cats & Dogs,POINT(4.548902879532045 51.140205367103704)
388879,Cats & Dogs,POINT(4.941630121976644 51.131518146454184)
402493,Krëfel,POINT(4.31089406815337 50.794443216060664)
402494,Krëfel,POINT(4.704025399999985 50.576878599980766)
402495,Krëfel,POINT(4.440429 50.467409)
402496,Krëfel,POINT(4.1973708 50.4829628)
402497,Krëfel,POINT(4.0092098 50.839075)
402499,Krëfel,POINT(4.316256400000009 50.89443999969272)
402504,Eldi,POINT(5.539136008613244 50.66745199946392)
402505,Eldi,POINT(5.723797799999986 49.995292299690846)
402506,Eldi,POINT(4.273633735401791 50.47794349806636)
402507,Eldi,POINT(4.703750827451527 50.57614749865537)
402509,Eldi,POINT(4.855459500000001 50.72469309999519)
402511,Eldi,POINT(6.014114999999993 50.4227231996917)
402512,Eldi,POINT(3.9423239392260214 50.463037244619805)
402513,Eldi,POINT(5.086969023880843 49.813709272175096)
402516,Expert,POINT(2.944885478590833 50.75102972005419)
402518,Exellent,POINT(5.871744000000021 50.37410769999519)
402520,Exellent,POINT(4.697076536247815 50.57170356783876)
402524,Exellent,POINT(3.7067075717950937 51.031661067757504)
402525,Exellent,POINT(5.310886900000016 51.22258459969346)
402527,Exellent,POINT(4.879281536247824 50.90784550268905)
402530,Exellent,POINT(3.897009640932083 50.93129165504679)
402531,Exellent,POINT(5.615284331550798 50.61373257560969)
402533,Exellent,POINT(4.397720199999986 51.20778019998083)
402534,Exellent,POINT(3.2274200999999847 51.27527979969361)
402535,Exellent,POINT(4.740313688611364 51.18694763771809)
402537,Exellent,POINT(4.95084285736084 51.14400163255863)
402538,Exellent,POINT(3.974469232230205 50.452676066686976)
402539,Exellent,POINT(5.503756578445813 50.84643603125778)
402540,Exellent,POINT(4.698581209392936 50.926386776948796)
402542,Exellent,POINT(3.9296860000000056 50.91694699969277)
402543,Exellent,POINT(4.231244652852237 50.96580734735036)
402548,Exellent,POINT(4.833432997522644 50.99760841123841)
402549,Exellent,POINT(3.3324272999999893 50.92005369969277)
402550,Exellent,POINT(4.089052506903674 51.002975953669264)
402552,Exellent,POINT(5.392789376241844 50.50564672520839)
402553,Exellent,POINT(4.995226781653566 51.09719779731299)
402561,Exellent,POINT(3.1100040000000018 51.03280749969302)
402562,Exellent,POINT(2.8864998 50.8550852)
402563,Exellent,POINT(5.2577668515275455 50.544032454194785)
402565,Exellent,POINT(4.0377109000000155 51.069067699995216)
402566,Exellent,POINT(3.2815521070138987 50.949215954483094)
402567,Exellent,POINT(3.762952427423314 50.80408983836239)
402568,Exellent,POINT(4.45961173948862 51.46501142328394)
402569,Exellent,POINT(4.646781370336774 51.40221268387239)
402571,Exellent,POINT(5.505733999999999 50.6432)
402573,Exellent,POINT(5.110425699999994 51.244466199693534)
402574,Exellent,POINT(5.6472465 50.8872367)
402575,Exellent,POINT(4.506809760003114 50.91540265269641)
402576,Exellent,POINT(3.4712276 50.9307826)
402577,Exellent,POINT(5.3079132 51.2339537)
402578,Exellent,POINT(4.6204012 50.4707327)
402579,Exellent,POINT(5.344263911247253 50.22952209843317)
402580,Exellent,POINT(4.3817477136448835 50.03681841357572)
402581,Exellent,POINT(4.245643181830747 50.951925757175)
402582,Exellent,POINT(4.959644500000002 50.978770699692916)
402583,Exellent,POINT(5.383991899999989 51.06126089998081)
402584,Exellent,POINT(4.0089854 50.8367312)
402585,Exellent,POINT(4.691513755053256 51.29686687412288)
402587,Exellent,POINT(4.903407 50.5995524)
402589,Exellent,POINT(5.299718771083115 49.69787702181809)
402590,Exellent,POINT(4.135017399999992 51.098492699980824)
402595,Exellent,POINT(4.617248101221452 51.06084706545461)
402596,Exellent,POINT(4.3244226378159345 50.94555422623047)
402598,Exellent,POINT(3.1096956370545037 50.799824333248324)
402599,Exellent,POINT(2.9622729428638506 51.156102578369854)
402602,Exellent,POINT(5.583801199999989 51.00339219969297)
402607,Exellent,POINT(2.902610400000012 51.2216143999952)
402609,Exellent,POINT(5.422896478651382 50.88846850840595)
402610,Exellent,POINT(5.744098500000017 49.55923879969007)
402612,Exellent,POINT(3.1443435159743194 51.30213538665152)
402614,Exellent,POINT(5.8117959488684345 49.62579695389215)
402615,Exellent,POINT(5.535719499999989 50.755654999692396)
402621,Exellent,POINT(4.232889799999988 51.095024699693155)
402622,Exellent,POINT(4.94404265033396 51.09677138966694)
402626,Exellent,POINT(4.731141699999992 51.051860999980825)
402627,Exellent,POINT(3.6837721000000023 51.11829379969324)
402629,Exellent,POINT(4.154666254372907 50.80578994518758)
402630,Exellent,POINT(4.973071297247391 51.32066734598677)
402631,Exellent,POINT(4.566888800000015 51.30511859969367)
402632,Exellent,POINT(4.979181195689417 51.16416400340739)
402634,Exellent,POINT(6.027290361559872 50.425408425972044)
402637,Exellent,POINT(3.0090574927856606 50.77780805565653)
402638,Exellent,POINT(5.104027378656366 50.944115755799785)
402639,Exellent,POINT(4.457059910454939 50.97728012074242)
402642,Exellent,POINT(5.311546603743729 49.69888220459614)
402644,Exellent,POINT(5.366234100000007 50.33657449969152)
402645,Exellent,POINT(5.742724200000016 51.05432859998082)
402646,Exellent,POINT(4.621134953955868 50.903378416041505)
402648,Exellent,POINT(3.2428497076034546 51.33621470998846)
402649,Exellent,POINT(5.5700409999999945 50.587507999995196)
402651,Exellent,POINT(5.181948116604436 50.81573790087413)
402653,Exellent,POINT(5.422131200000013 50.780208099692445)
402654,Exellent,POINT(4.5419990000000166 51.14528399998083)
402655,Exellent,POINT(4.61380705278073 50.714246983440276)
402660,Exellent,POINT(4.76618879927702 51.05231803206601)
402661,Exellent,POINT(4.935328589067951 50.80831122102724)
402662,Exellent,POINT(5.502637624740601 50.8566797520766)
402663,Exellent,POINT(2.906991752168002 51.217109121020826)
402664,Exellent,POINT(2.881584600000018 50.7856745999952)
402669,Exellent,POINT(3.910306171829805 51.035736478889795)
402670,Exellent,POINT(3.5886822999999834 50.74987049998077)
402672,Exellent,POINT(4.991946300000003 51.01654029969298)
402673,Exellent,POINT(4.934750758303235 50.808778237350474)
402674,Exellent,POINT(5.080731108006082 50.74925693803184)
402675,Exellent,POINT(3.773498833765312 51.0244578050719)
402676,Exellent,POINT(3.240325315996264 51.33991671725275)
402677,Exellent,POINT(3.6822659522295 50.735529120377564)
402678,Selexion,POINT(2.8987221193146695 51.02812849345181)
402679,Selexion,POINT(3.4271934 50.8881301)
402681,Selexion,POINT(5.788246200000016 49.68688179969027)
402682,Selexion,POINT(5.535392499999999 49.5741847)
402683,Selexion,POINT(4.3537706 51.0135442)
402684,Selexion,POINT(5.172463 51.176499)
402685,Selexion,POINT(4.7196267 50.9205161)
402686,Selexion,POINT(3.921695599999988 51.045663699693065)
402687,Selexion,POINT(3.119375300000007 50.796426899995225)
402688,Selexion,POINT(3.3946961 50.60757710000001)
402689,Selexion,POINT(4.6966008999999875 50.880731299998814)
402691,Selexion,POINT(5.6585679 50.6204165)
402694,Selexion,POINT(5.382603265752785 50.99127333871473)
402695,Selexion,POINT(4.915093004284292 51.087151094689574)
402696,Selexion,POINT(5.5170129 50.870012699995215)
402697,Selexion,POINT(3.261654000000016 50.835137399692584)
402698,Selexion,POINT(4.346280399999999 51.05938039999999)
402699,Selexion,POINT(3.122315300000018 50.7948239999952)
402700,Selexion,POINT(4.5821444912857885 50.78936580162997)
402701,Selexion,POINT(5.8129558 50.2538139)
402702,Selexion,POINT(5.9748632 50.6989948)
402703,Selexion,POINT(4.9348130786581645 50.81238324548374)
402705,Selexion,POINT(4.867538300000005 50.906038799995194)
402706,Selexion,POINT(4.187490599999997 51.02982179969302)
402707,Selexion,POINT(2.885553 50.865982)
402710,Selexion,POINT(4.359090964744596 51.06496424377867)
402711,Selexion,POINT(4.5959732 51.3937975)
402712,Selexion,POINT(5.5131970000000186 50.6091860996921)
402713,Selexion,POINT(2.598626499999992 51.0725528999952)
402714,Selexion,POINT(3.8135248000000166 50.86727869999521)
402715,Selexion,POINT(5.181525100000011 50.815528599995204)
402718,Selexion,POINT(4.512822300949614 50.82453823948046)
402719,Selexion,POINT(4.040547699999999 51.2052106)
402720,Selexion,POINT(3.215811700000013 50.9203892999808)
402721,Selexion,POINT(4.2454107 50.9229201)
402723,Vanden Borre,POINT(4.383330000000001 51.1548154)
402724,Vanden Borre,POINT(5.040560900000011 50.97393999969289)
402727,Vanden Borre,POINT(4.965513899999999 50.11333450000001)
402886,Intermarché,POINT(4.169849674194417 50.420916354180314)
402917,Exellent,POINT(4.251788682245823 51.21616408330299)
402918,Exellent,POINT(3.375660999999983 50.81764809969256)
403170,Selexion,POINT(5.027400000000002 51.1639995996933)
403175,Carrefour express,POINT(3.1391652999999886 51.31762799999882)
403177,Colruyt,POINT(4.308743152496106 50.05085030328574)
403190,Chaussea,POINT(4.239496988152753 50.407791091250814)
403192,Chaussea,POINT(5.2249648 51.0674003)
403198,Chaussea,POINT(4.4418139 50.4692167)
403200,Chaussea,POINT(6.0045752 50.6449867)
403202,Chaussea,POINT(4.1969376 50.4831032)
403203,Chaussea,POINT(5.35317720000001 49.910460499690686)
403207,Chaussea,POINT(3.8076025908594113 51.08910878574584)
403208,Chaussea,POINT(5.702031999999995 50.986065299692925)
403210,Chaussea,POINT(3.8376594 50.4411852)
403211,Chaussea,POINT(3.9071298000000043 50.449658099691774)
414975,Coolblue,POINT(3.2005477262938307 51.2505564133872)
414977,Coolblue,POINT(5.336061716079712 50.93513308329018)
414978,Coolblue,POINT(5.462288393275552 50.68194624896966)
414979,Coolblue,POINT(3.268969300000011 50.84718919969262)
414981,Coolblue,POINT(4.901837376500353 51.152420716491925)
414982,Coolblue,POINT(4.382930800000007 51.15960249969332)
414983,Coolblue,POINT(4.430872295328574 50.86282623659281)
344215,Quick,POINT(4.299627999999989 50.77937509969247)
344295,McDonald's,POINT(4.280402020110441 50.82044573155457)
344322,McDonald's,POINT(4.3723551852750235 50.87977346391331)
344363,McDonald's,POINT(5.344702500000009 50.23404669969133)
344414,Burger King,POINT(3.2820556000000023 50.71823169969234)
344439,Burger King,POINT(3.85320436753888 50.44165303232386)
344510,KFC,POINT(4.198640434061652 50.485012518216465)
332269,Starbucks Grote Markt 4 Brussel,POINT(4.351870440290854 50.84708168493411)
332270,Starbucks Korenmarkt 4 Gent,POINT(3.7223896804157777 51.054859127829204)
332271,Starbucks ,POINT(4.40093859412507 51.2197573892464)
332273,Starbucks Koningin Maria Hendrikaplein 1 Gent,POINT(3.7113752524573482 51.03606723214901)
344171,Quick,POINT(3.1962095804583335 51.19337767841071)
344196,Quick,POINT(4.439310699999992 51.29806049969365)
344208,Quick,POINT(4.893946599999985 50.48959429969183)
344212,Quick,POINT(5.571984364456658 50.64395910504425)
344217,Quick,POINT(4.464546894450447 51.25932903005)
344226,Quick,POINT(4.488645437417018 51.235847045467615)
344303,McDonald's,POINT(3.7743079662323 50.63862924040554)
344339,McDonald's,POINT(5.30185649859944 50.9388476558468)
344346,McDonald's,POINT(4.877834332883517 50.721585153125346)
344379,McDonald's,POINT(3.6003706000000113 50.52969729998077)
344386,McDonald's,POINT(4.276501700000019 50.78360529998078)
344432,Burger King,POINT(5.694038299999984 50.95734359998082)
344506,KFC,POINT(4.253351800000016 50.8794020996927)
344292,McDonald's,POINT(4.038277198184117 50.93820042173)
344298,McDonald's,POINT(4.401144300000004 51.219872199693455)
344299,McDonald's,POINT(4.419440096554572 51.217247158984584)
344300,McDonald's,POINT(4.407447484089131 51.21792735070915)
344301,McDonald's,POINT(4.414528599999992 51.21792919999881)
344311,McDonald's,POINT(3.2227267999999887 51.20743399969344)
344313,McDonald's,POINT(4.357392700000005 50.854402499692625)
344340,McDonald's,POINT(5.3366343677043915 50.92748879344975)
344343,McDonald's,POINT(5.375391599999988 51.02440749999522)
344344,McDonald's,POINT(4.361964769634734 50.83736990561351)
344353,McDonald's,POINT(4.70026320000001 50.87887649969268)
344354,McDonald's,POINT(4.709643870592117 50.88012521294323)
344355,McDonald's,POINT(5.5719493774922455 50.64317168776168)
344361,McDonald's,POINT(4.430712600000013 50.91347239969278)
344368,McDonald's,POINT(5.811608946665522 49.61479730914955)
344370,McDonald's,POINT(3.9523361999999906 50.45379719969176)
344371,McDonald's,POINT(3.9340468074197625 50.456958934897784)
344376,McDonald's,POINT(2.9168021000000177 51.23244409969348)
344377,McDonald's,POINT(2.9049201999999985 51.20599099969344)
344394,McDonald's,POINT(4.302767799999985 50.68533179969227)
